PRETRIAL_SORT,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment
QUARTER,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4
Median No. Of Days,9,10,9,13,14,17,17,20,23,23,47,54,45,72,106,203,219,224,436,228,204,202,168,139,183,219,142,170,187,189,161,178,133,126,116,120,129,127,137,130,152,148,146,161,173,287,265,303,306,329,374,357,302,283,296,286,280,283,274,266,256,257,231,253
