PRETRIAL_SORT,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Detained at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment,Released at Arraignment
QUARTER,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4
Median No. Of Days,82,65,76,67,84,89,77,86,93,85,94,106,104,96,92,141,187,181,157,179,220,183,173,172,194,221,181,193,168,175,136,166,208,179,176,196,193,193,193,197,223,235,227,210,242,244,307,363,374,326,335,328,393,360,369,379,385,405,390,382,384,374,319,304
