Year,Quarter,Month,Day,Average of CHARGE_RED_DISPO_SORT
2018,Qtr 1,March,23,0.00%
2018,Qtr 1,March,26,6.67%
2018,Qtr 1,March,27,11.76%
2018,Qtr 1,March,28,3.33%
2018,Qtr 1,March,29,11.43%
2018,Qtr 2,April,2,5.00%
2018,Qtr 2,April,3,0.00%
2018,Qtr 2,April,4,4.76%
2018,Qtr 2,April,5,3.33%
2018,Qtr 2,April,6,8.33%
2018,Qtr 2,April,9,16.67%
2018,Qtr 2,April,10,11.11%
2018,Qtr 2,April,11,8.33%
2018,Qtr 2,April,12,20.69%
2018,Qtr 2,April,13,12.50%
2018,Qtr 2,April,16,7.32%
2018,Qtr 2,April,17,10.00%
2018,Qtr 2,April,18,0.00%
2018,Qtr 2,April,19,7.69%
2018,Qtr 2,April,20,41.67%
2018,Qtr 2,April,23,9.09%
2018,Qtr 2,April,24,17.86%
2018,Qtr 2,April,25,19.05%
2018,Qtr 2,April,26,0.00%
2018,Qtr 2,April,27,8.70%
2018,Qtr 2,April,30,10.71%
2018,Qtr 2,May,1,5.88%
2018,Qtr 2,May,2,5.00%
2018,Qtr 2,May,3,4.76%
2018,Qtr 2,May,4,0.00%
2018,Qtr 2,May,7,0.00%
2018,Qtr 2,May,8,0.00%
2018,Qtr 2,May,9,16.00%
2018,Qtr 2,May,10,0.00%
2018,Qtr 2,May,11,0.00%
2018,Qtr 2,May,14,10.71%
2018,Qtr 2,May,15,17.39%
2018,Qtr 2,May,16,0.00%
2018,Qtr 2,May,17,12.20%
2018,Qtr 2,May,18,7.14%
2018,Qtr 2,May,21,6.90%
2018,Qtr 2,May,22,13.33%
2018,Qtr 2,May,23,14.29%
2018,Qtr 2,May,24,17.65%
2018,Qtr 2,May,25,14.29%
2018,Qtr 2,May,29,3.03%
2018,Qtr 2,May,30,20.83%
2018,Qtr 2,May,31,11.43%
2018,Qtr 2,June,1,0.00%
2018,Qtr 2,June,4,15.63%
2018,Qtr 2,June,5,6.25%
2018,Qtr 2,June,6,14.29%
2018,Qtr 2,June,7,11.76%
2018,Qtr 2,June,8,5.56%
2018,Qtr 2,June,9,0.00%
2018,Qtr 2,June,10,0.00%
2018,Qtr 2,June,11,20.00%
2018,Qtr 2,June,12,3.45%
2018,Qtr 2,June,13,16.67%
2018,Qtr 2,June,14,27.27%
2018,Qtr 2,June,15,4.55%
2018,Qtr 2,June,16,0.00%
2018,Qtr 2,June,18,21.05%
2018,Qtr 2,June,19,7.14%
2018,Qtr 2,June,20,7.69%
2018,Qtr 2,June,21,6.67%
2018,Qtr 2,June,22,5.26%
2018,Qtr 2,June,25,4.55%
2018,Qtr 2,June,26,0.00%
2018,Qtr 2,June,27,13.33%
2018,Qtr 2,June,28,10.53%
2018,Qtr 2,June,29,7.69%
2018,Qtr 3,July,2,4.35%
2018,Qtr 3,July,3,23.08%
2018,Qtr 3,July,5,0.00%
2018,Qtr 3,July,6,9.09%
2018,Qtr 3,July,9,10.34%
2018,Qtr 3,July,10,14.29%
2018,Qtr 3,July,11,14.29%
2018,Qtr 3,July,12,6.90%
2018,Qtr 3,July,13,0.00%
2018,Qtr 3,July,16,0.00%
2018,Qtr 3,July,17,4.35%
2018,Qtr 3,July,18,5.26%
2018,Qtr 3,July,19,20.45%
2018,Qtr 3,July,20,0.00%
2018,Qtr 3,July,23,30.77%
2018,Qtr 3,July,24,3.45%
2018,Qtr 3,July,25,12.50%
2018,Qtr 3,July,26,8.33%
2018,Qtr 3,July,27,5.88%
2018,Qtr 3,July,30,10.00%
2018,Qtr 3,July,31,10.34%
2018,Qtr 3,August,1,0.00%
2018,Qtr 3,August,2,10.71%
2018,Qtr 3,August,3,10.00%
2018,Qtr 3,August,6,8.33%
2018,Qtr 3,August,7,0.00%
2018,Qtr 3,August,8,7.14%
2018,Qtr 3,August,9,6.06%
2018,Qtr 3,August,10,8.33%
2018,Qtr 3,August,13,7.69%
2018,Qtr 3,August,14,6.25%
2018,Qtr 3,August,15,17.65%
2018,Qtr 3,August,16,16.67%
2018,Qtr 3,August,17,5.88%
2018,Qtr 3,August,20,7.69%
2018,Qtr 3,August,21,13.79%
2018,Qtr 3,August,22,10.00%
2018,Qtr 3,August,23,12.00%
2018,Qtr 3,August,24,20.00%
2018,Qtr 3,August,27,7.69%
2018,Qtr 3,August,28,23.81%
2018,Qtr 3,August,29,3.45%
2018,Qtr 3,August,30,15.38%
2018,Qtr 3,August,31,11.11%
2018,Qtr 3,September,4,8.33%
2018,Qtr 3,September,5,12.50%
2018,Qtr 3,September,6,5.56%
2018,Qtr 3,September,7,12.50%
2018,Qtr 3,September,10,5.56%
2018,Qtr 3,September,11,8.33%
2018,Qtr 3,September,12,0.00%
2018,Qtr 3,September,13,5.56%
2018,Qtr 3,September,14,0.00%
2018,Qtr 3,September,17,25.00%
2018,Qtr 3,September,18,9.68%
2018,Qtr 3,September,19,7.41%
2018,Qtr 3,September,20,8.00%
2018,Qtr 3,September,21,0.00%
2018,Qtr 3,September,24,16.13%
2018,Qtr 3,September,25,3.23%
2018,Qtr 3,September,26,12.90%
2018,Qtr 3,September,27,9.09%
2018,Qtr 3,September,28,5.56%
2018,Qtr 4,October,1,20.59%
2018,Qtr 4,October,2,4.17%
2018,Qtr 4,October,3,4.76%
2018,Qtr 4,October,4,10.53%
2018,Qtr 4,October,5,0.00%
2018,Qtr 4,October,9,8.57%
2018,Qtr 4,October,10,0.00%
2018,Qtr 4,October,11,12.00%
2018,Qtr 4,October,12,7.69%
2018,Qtr 4,October,15,0.00%
2018,Qtr 4,October,16,8.70%
2018,Qtr 4,October,17,6.90%
2018,Qtr 4,October,18,15.15%
2018,Qtr 4,October,19,22.73%
2018,Qtr 4,October,22,2.78%
2018,Qtr 4,October,23,6.25%
2018,Qtr 4,October,24,10.53%
2018,Qtr 4,October,25,10.00%
2018,Qtr 4,October,26,7.14%
2018,Qtr 4,October,28,100.00%
2018,Qtr 4,October,29,3.70%
2018,Qtr 4,October,30,0.00%
2018,Qtr 4,October,31,14.29%
2018,Qtr 4,November,1,6.90%
2018,Qtr 4,November,2,4.17%
2018,Qtr 4,November,5,29.17%
2018,Qtr 4,November,6,14.29%
2018,Qtr 4,November,7,9.09%
2018,Qtr 4,November,8,9.52%
2018,Qtr 4,November,9,20.83%
2018,Qtr 4,November,13,0.00%
2018,Qtr 4,November,14,7.69%
2018,Qtr 4,November,15,16.67%
2018,Qtr 4,November,16,7.69%
2018,Qtr 4,November,17,0.00%
2018,Qtr 4,November,19,7.14%
2018,Qtr 4,November,20,7.69%
2018,Qtr 4,November,21,8.33%
2018,Qtr 4,November,25,0.00%
2018,Qtr 4,November,26,0.00%
2018,Qtr 4,November,27,10.00%
2018,Qtr 4,November,28,11.76%
2018,Qtr 4,November,29,24.00%
2018,Qtr 4,November,30,10.53%
2018,Qtr 4,December,3,5.71%
2018,Qtr 4,December,4,0.00%
2018,Qtr 4,December,5,2.70%
2018,Qtr 4,December,6,0.00%
2018,Qtr 4,December,7,4.55%
2018,Qtr 4,December,10,3.13%
2018,Qtr 4,December,11,17.86%
2018,Qtr 4,December,12,3.45%
2018,Qtr 4,December,13,32.14%
2018,Qtr 4,December,14,0.00%
2018,Qtr 4,December,17,9.30%
2018,Qtr 4,December,18,7.69%
2018,Qtr 4,December,19,22.22%
2018,Qtr 4,December,20,6.25%
2018,Qtr 4,December,21,0.00%
2018,Qtr 4,December,24,16.67%
2018,Qtr 4,December,26,16.67%
2018,Qtr 4,December,27,22.22%
2018,Qtr 4,December,28,0.00%
2018,Qtr 4,December,31,0.00%
2019,Qtr 1,January,2,5.00%
2019,Qtr 1,January,3,6.06%
2019,Qtr 1,January,4,6.25%
2019,Qtr 1,January,7,9.09%
2019,Qtr 1,January,8,15.38%
2019,Qtr 1,January,9,4.55%
2019,Qtr 1,January,10,12.12%
2019,Qtr 1,January,11,4.35%
2019,Qtr 1,January,14,10.53%
2019,Qtr 1,January,15,10.53%
2019,Qtr 1,January,16,12.00%
2019,Qtr 1,January,17,7.41%
2019,Qtr 1,January,18,18.18%
2019,Qtr 1,January,20,0.00%
2019,Qtr 1,January,22,14.29%
2019,Qtr 1,January,23,13.64%
2019,Qtr 1,January,24,18.42%
2019,Qtr 1,January,25,10.00%
2019,Qtr 1,January,28,2.86%
2019,Qtr 1,January,29,5.56%
2019,Qtr 1,January,30,10.34%
2019,Qtr 1,January,31,6.67%
2019,Qtr 1,February,1,12.50%
2019,Qtr 1,February,3,0.00%
2019,Qtr 1,February,4,19.44%
2019,Qtr 1,February,5,8.57%
2019,Qtr 1,February,6,7.41%
2019,Qtr 1,February,7,20.93%
2019,Qtr 1,February,8,8.00%
2019,Qtr 1,February,11,4.17%
2019,Qtr 1,February,13,7.41%
2019,Qtr 1,February,14,0.00%
2019,Qtr 1,February,15,3.85%
2019,Qtr 1,February,19,8.33%
2019,Qtr 1,February,20,0.00%
2019,Qtr 1,February,21,10.00%
2019,Qtr 1,February,22,7.69%
2019,Qtr 1,February,25,10.34%
2019,Qtr 1,February,26,11.43%
2019,Qtr 1,February,27,17.39%
2019,Qtr 1,February,28,26.92%
2019,Qtr 1,March,1,27.27%
2019,Qtr 1,March,4,8.57%
2019,Qtr 1,March,5,17.24%
2019,Qtr 1,March,6,8.00%
2019,Qtr 1,March,7,9.09%
2019,Qtr 1,March,8,0.00%
2019,Qtr 1,March,11,14.71%
2019,Qtr 1,March,12,8.33%
2019,Qtr 1,March,13,8.33%
2019,Qtr 1,March,14,19.23%
2019,Qtr 1,March,15,1.27%
2019,Qtr 1,March,18,8.82%
2019,Qtr 1,March,19,5.13%
2019,Qtr 1,March,20,23.53%
2019,Qtr 1,March,21,19.35%
2019,Qtr 1,March,22,11.54%
2019,Qtr 1,March,25,7.41%
2019,Qtr 1,March,26,10.53%
2019,Qtr 1,March,27,10.53%
2019,Qtr 1,March,28,11.76%
2019,Qtr 1,March,29,7.69%
2019,Qtr 2,April,2,12.00%
2019,Qtr 2,April,3,11.11%
2019,Qtr 2,April,4,3.03%
2019,Qtr 2,April,5,2.04%
2019,Qtr 2,April,8,10.00%
2019,Qtr 2,April,9,0.00%
2019,Qtr 2,April,10,15.79%
2019,Qtr 2,April,11,7.14%
2019,Qtr 2,April,12,32.00%
2019,Qtr 2,April,14,0.00%
2019,Qtr 2,April,15,5.00%
2019,Qtr 2,April,16,33.33%
2019,Qtr 2,April,17,24.14%
2019,Qtr 2,April,18,4.00%
2019,Qtr 2,April,19,6.67%
2019,Qtr 2,April,22,16.67%
2019,Qtr 2,April,23,8.33%
2019,Qtr 2,April,24,12.50%
2019,Qtr 2,April,25,17.86%
2019,Qtr 2,April,26,5.56%
2019,Qtr 2,April,29,13.64%
2019,Qtr 2,April,30,4.76%
2019,Qtr 2,May,1,7.14%
2019,Qtr 2,May,2,4.76%
2019,Qtr 2,May,3,10.00%
2019,Qtr 2,May,5,0.00%
2019,Qtr 2,May,6,11.11%
2019,Qtr 2,May,7,25.00%
2019,Qtr 2,May,8,12.50%
2019,Qtr 2,May,9,12.90%
2019,Qtr 2,May,10,4.35%
2019,Qtr 2,May,13,6.90%
2019,Qtr 2,May,14,6.25%
2019,Qtr 2,May,15,15.00%
2019,Qtr 2,May,16,12.00%
2019,Qtr 2,May,17,12.00%
2019,Qtr 2,May,20,6.98%
2019,Qtr 2,May,21,10.81%
2019,Qtr 2,May,22,7.14%
2019,Qtr 2,May,23,21.21%
2019,Qtr 2,May,24,19.23%
2019,Qtr 2,May,25,0.00%
2019,Qtr 2,May,28,19.51%
2019,Qtr 2,May,29,8.33%
2019,Qtr 2,May,30,12.12%
2019,Qtr 2,May,31,5.56%
2019,Qtr 2,June,3,17.24%
2019,Qtr 2,June,4,4.55%
2019,Qtr 2,June,5,12.90%
2019,Qtr 2,June,6,20.00%
2019,Qtr 2,June,7,18.75%
2019,Qtr 2,June,10,6.67%
2019,Qtr 2,June,11,20.51%
2019,Qtr 2,June,12,0.00%
2019,Qtr 2,June,13,7.50%
2019,Qtr 2,June,14,17.65%
2019,Qtr 2,June,17,0.00%
2019,Qtr 2,June,18,9.68%
2019,Qtr 2,June,19,2.70%
2019,Qtr 2,June,20,12.50%
2019,Qtr 2,June,21,14.29%
2019,Qtr 2,June,24,0.00%
2019,Qtr 2,June,25,21.05%
2019,Qtr 2,June,26,16.67%
2019,Qtr 2,June,27,17.65%
2019,Qtr 2,June,28,0.00%
2019,Qtr 3,July,1,9.09%
2019,Qtr 3,July,2,0.00%
2019,Qtr 3,July,3,0.00%
2019,Qtr 3,July,5,25.00%
2019,Qtr 3,July,6,0.00%
2019,Qtr 3,July,8,0.00%
2019,Qtr 3,July,9,13.64%
2019,Qtr 3,July,10,13.33%
2019,Qtr 3,July,11,12.82%
2019,Qtr 3,July,12,0.00%
2019,Qtr 3,July,13,0.00%
2019,Qtr 3,July,15,15.38%
2019,Qtr 3,July,16,0.00%
2019,Qtr 3,July,17,17.65%
2019,Qtr 3,July,18,20.00%
2019,Qtr 3,July,19,11.11%
2019,Qtr 3,July,22,12.50%
2019,Qtr 3,July,23,6.67%
2019,Qtr 3,July,24,16.67%
2019,Qtr 3,July,25,6.82%
2019,Qtr 3,July,26,10.00%
2019,Qtr 3,July,29,11.54%
2019,Qtr 3,July,30,9.68%
2019,Qtr 3,July,31,11.90%
2019,Qtr 3,August,1,13.33%
2019,Qtr 3,August,2,12.50%
2019,Qtr 3,August,5,17.50%
2019,Qtr 3,August,6,17.65%
2019,Qtr 3,August,7,0.00%
2019,Qtr 3,August,8,13.04%
2019,Qtr 3,August,9,12.90%
2019,Qtr 3,August,12,11.11%
2019,Qtr 3,August,13,23.33%
2019,Qtr 3,August,14,4.00%
2019,Qtr 3,August,15,10.53%
2019,Qtr 3,August,16,8.33%
2019,Qtr 3,August,19,11.11%
2019,Qtr 3,August,20,8.00%
2019,Qtr 3,August,21,19.05%
2019,Qtr 3,August,22,4.76%
2019,Qtr 3,August,23,16.67%
2019,Qtr 3,August,26,8.82%
2019,Qtr 3,August,27,12.50%
2019,Qtr 3,August,28,4.00%
2019,Qtr 3,August,29,12.12%
2019,Qtr 3,August,30,0.00%
2019,Qtr 3,September,3,27.27%
2019,Qtr 3,September,4,15.00%
2019,Qtr 3,September,5,6.45%
2019,Qtr 3,September,6,11.11%
2019,Qtr 3,September,8,0.00%
2019,Qtr 3,September,9,15.00%
2019,Qtr 3,September,10,11.54%
2019,Qtr 3,September,11,12.50%
2019,Qtr 3,September,12,3.57%
2019,Qtr 3,September,13,14.81%
2019,Qtr 3,September,16,8.82%
2019,Qtr 3,September,17,6.06%
2019,Qtr 3,September,18,12.00%
2019,Qtr 3,September,19,20.00%
2019,Qtr 3,September,20,9.76%
2019,Qtr 3,September,23,9.09%
2019,Qtr 3,September,24,9.68%
2019,Qtr 3,September,25,6.67%
2019,Qtr 3,September,26,8.00%
2019,Qtr 3,September,27,0.00%
2019,Qtr 3,September,30,19.05%
2019,Qtr 4,October,1,20.51%
2019,Qtr 4,October,2,9.09%
2019,Qtr 4,October,3,12.12%
2019,Qtr 4,October,4,7.14%
2019,Qtr 4,October,7,10.53%
2019,Qtr 4,October,8,16.00%
2019,Qtr 4,October,9,6.25%
2019,Qtr 4,October,10,18.18%
2019,Qtr 4,October,11,6.25%
2019,Qtr 4,October,15,18.52%
2019,Qtr 4,October,16,16.67%
2019,Qtr 4,October,17,4.55%
2019,Qtr 4,October,18,15.79%
2019,Qtr 4,October,21,3.03%
2019,Qtr 4,October,22,6.06%
2019,Qtr 4,October,23,8.70%
2019,Qtr 4,October,24,10.00%
2019,Qtr 4,October,25,3.57%
2019,Qtr 4,October,28,8.70%
2019,Qtr 4,October,29,5.00%
2019,Qtr 4,October,30,16.00%
2019,Qtr 4,October,31,5.26%
2019,Qtr 4,November,1,0.00%
2019,Qtr 4,November,4,12.20%
2019,Qtr 4,November,5,16.22%
2019,Qtr 4,November,6,8.82%
2019,Qtr 4,November,7,8.82%
2019,Qtr 4,November,8,4.00%
2019,Qtr 4,November,12,5.41%
