Quarter,Detained,Released
2017 Q1,0,10
2017 Q2,0,7
2017 Q3,0,7
2017 Q4,0,9
2018 Q1,0,12
2018 Q2,0,11
2018 Q3,0,13
2018 Q4,0,11
2019 Q1,0,14
2019 Q2,0,15
2019 Q3,0,14
2019 Q4,0,15
2020 Q1,0,14
2020 Q2,0,16
2020 Q3,0,22
2020 Q4,0,18
2021 Q1,0,17
2021 Q2,0,16
2021 Q3,0,18
2021 Q4,0,24
2022 Q1,0,17
2022 Q2,0,19
2022 Q3,0,25
2022 Q4,0,26
2023 Q1,0,29
2023 Q2,0,28
2023 Q3,0,25
2023 Q4,0,29
2024 Q1,0,24
2024 Q2,0,15
2024 Q3,0,24
2024 Q4,0,9
