Year,Asian,Black,Latino/a
2017,13.00%,0.00%,13.00%
2018,13.00%,8.00%,8.00%
2019,8.00%,8.00%,8.00%
2020,13.00%,8.00%,8.00%
2021,13.00%,13.00%,8.00%
2022,21.00%,8.00%,13.00%
2023,21.00%,4.00%,13.00%
CA Attorneys,14%,3%,6%
