Year,Quarter,Month,Day,Average of VIC_JUV_max,Average of VIC_TEEN_max
2017,Qtr 4,November,28,0.00%,0.00%
2017,Qtr 4,November,29,9.38%,0.00%
2017,Qtr 4,November,30,0.00%,3.70%
2017,Qtr 4,December,1,0.00%,0.00%
2017,Qtr 4,December,2,0.00%,0.00%
2017,Qtr 4,December,3,7.14%,7.14%
2017,Qtr 4,December,4,2.86%,5.71%
2017,Qtr 4,December,5,3.70%,0.00%
2017,Qtr 4,December,6,0.00%,0.00%
2017,Qtr 4,December,7,0.00%,2.78%
2017,Qtr 4,December,8,0.00%,0.00%
2017,Qtr 4,December,9,0.00%,0.00%
2017,Qtr 4,December,10,0.00%,0.00%
2017,Qtr 4,December,11,3.23%,3.23%
2017,Qtr 4,December,12,0.00%,2.38%
2017,Qtr 4,December,13,3.33%,3.33%
2017,Qtr 4,December,14,6.67%,0.00%
2017,Qtr 4,December,15,0.00%,0.00%
2017,Qtr 4,December,16,0.00%,0.00%
2017,Qtr 4,December,18,3.57%,0.00%
2017,Qtr 4,December,19,3.23%,3.23%
2017,Qtr 4,December,20,3.70%,3.70%
2017,Qtr 4,December,21,2.56%,0.00%
2017,Qtr 4,December,22,0.00%,0.00%
2017,Qtr 4,December,26,0.00%,3.85%
2017,Qtr 4,December,27,5.26%,0.00%
2017,Qtr 4,December,28,0.00%,2.13%
2017,Qtr 4,December,29,0.00%,0.00%
2017,Qtr 4,December,30,0.00%,0.00%
2017,Qtr 4,December,31,0.00%,14.29%
2018,Qtr 1,January,2,3.57%,3.57%
2018,Qtr 1,January,3,4.76%,4.76%
2018,Qtr 1,January,4,4.55%,0.00%
2018,Qtr 1,January,5,3.70%,0.00%
2018,Qtr 1,January,6,0.00%,0.00%
2018,Qtr 1,January,8,1.92%,0.00%
2018,Qtr 1,January,9,0.00%,2.63%
2018,Qtr 1,January,10,0.00%,0.00%
2018,Qtr 1,January,11,2.86%,0.00%
2018,Qtr 1,January,12,0.00%,12.90%
2018,Qtr 1,January,13,0.00%,0.00%
2018,Qtr 1,January,14,0.00%,0.00%
2018,Qtr 1,January,16,2.94%,5.88%
2018,Qtr 1,January,17,0.00%,2.78%
2018,Qtr 1,January,18,0.00%,0.00%
2018,Qtr 1,January,19,0.00%,0.00%
2018,Qtr 1,January,20,0.00%,0.00%
2018,Qtr 1,January,21,0.00%,0.00%
2018,Qtr 1,January,22,0.00%,0.00%
2018,Qtr 1,January,23,0.00%,5.00%
2018,Qtr 1,January,24,0.00%,0.00%
2018,Qtr 1,January,25,0.00%,0.00%
2018,Qtr 1,January,26,0.00%,4.55%
2018,Qtr 1,January,27,0.00%,0.00%
2018,Qtr 1,January,28,0.00%,0.00%
2018,Qtr 1,January,29,4.35%,0.00%
2018,Qtr 1,January,30,0.00%,3.03%
2018,Qtr 1,January,31,3.03%,3.03%
2018,Qtr 1,February,1,11.11%,0.00%
2018,Qtr 1,February,2,0.00%,8.57%
2018,Qtr 1,February,4,0.00%,0.00%
2018,Qtr 1,February,5,0.00%,3.57%
2018,Qtr 1,February,6,6.67%,6.67%
2018,Qtr 1,February,7,2.78%,0.00%
2018,Qtr 1,February,8,0.00%,4.35%
2018,Qtr 1,February,9,0.00%,3.23%
2018,Qtr 1,February,10,7.14%,0.00%
2018,Qtr 1,February,11,0.00%,0.00%
2018,Qtr 1,February,12,2.56%,5.13%
2018,Qtr 1,February,13,0.00%,0.00%
2018,Qtr 1,February,14,0.00%,0.00%
2018,Qtr 1,February,15,0.00%,0.00%
2018,Qtr 1,February,16,0.00%,9.09%
2018,Qtr 1,February,17,0.00%,0.00%
2018,Qtr 1,February,18,7.69%,0.00%
2018,Qtr 1,February,20,4.00%,4.00%
2018,Qtr 1,February,21,0.00%,3.57%
2018,Qtr 1,February,22,0.00%,3.33%
2018,Qtr 1,February,23,0.00%,0.00%
2018,Qtr 1,February,24,0.00%,0.00%
2018,Qtr 1,February,25,0.00%,10.00%
2018,Qtr 1,February,26,0.00%,4.35%
2018,Qtr 1,February,27,0.00%,4.17%
2018,Qtr 1,February,28,0.00%,3.03%
2018,Qtr 1,March,1,4.55%,0.00%
2018,Qtr 1,March,2,0.00%,22.22%
2018,Qtr 1,March,3,0.00%,0.00%
2018,Qtr 1,March,4,0.00%,0.00%
2018,Qtr 1,March,5,0.00%,1.52%
2018,Qtr 1,March,6,0.00%,0.00%
2018,Qtr 1,March,7,0.00%,3.57%
2018,Qtr 1,March,8,0.00%,0.00%
2018,Qtr 1,March,9,0.00%,0.00%
2018,Qtr 1,March,12,0.00%,0.00%
2018,Qtr 1,March,13,0.00%,0.00%
2018,Qtr 1,March,14,0.00%,0.00%
2018,Qtr 1,March,15,0.00%,0.00%
2018,Qtr 1,March,16,0.00%,0.00%
2018,Qtr 1,March,17,0.00%,0.00%
2018,Qtr 1,March,18,0.00%,0.00%
2018,Qtr 1,March,19,0.00%,0.00%
2018,Qtr 1,March,20,2.94%,2.94%
2018,Qtr 1,March,21,0.00%,6.45%
2018,Qtr 1,March,22,0.00%,2.78%
2018,Qtr 1,March,23,4.35%,0.00%
2018,Qtr 1,March,24,0.00%,0.00%
2018,Qtr 1,March,26,4.00%,0.00%
2018,Qtr 1,March,27,0.00%,4.35%
2018,Qtr 1,March,28,0.00%,0.00%
2018,Qtr 1,March,29,3.33%,10.00%
2018,Qtr 1,March,30,0.00%,0.00%
2018,Qtr 1,March,31,0.00%,0.00%
2018,Qtr 2,April,2,4.44%,2.22%
2018,Qtr 2,April,3,0.00%,0.00%
2018,Qtr 2,April,4,0.00%,3.57%
2018,Qtr 2,April,5,0.00%,0.00%
2018,Qtr 2,April,6,0.00%,0.00%
2018,Qtr 2,April,7,0.00%,0.00%
2018,Qtr 2,April,8,0.00%,0.00%
2018,Qtr 2,April,9,3.57%,0.00%
2018,Qtr 2,April,10,0.00%,0.00%
2018,Qtr 2,April,11,0.00%,8.70%
2018,Qtr 2,April,12,0.00%,0.00%
2018,Qtr 2,April,13,5.88%,0.00%
2018,Qtr 2,April,14,11.11%,0.00%
2018,Qtr 2,April,16,8.11%,0.00%
2018,Qtr 2,April,17,0.00%,0.00%
2018,Qtr 2,April,18,3.03%,0.00%
2018,Qtr 2,April,19,3.45%,0.00%
2018,Qtr 2,April,20,2.56%,2.56%
2018,Qtr 2,April,21,0.00%,0.00%
2018,Qtr 2,April,23,0.00%,3.70%
2018,Qtr 2,April,24,2.78%,0.00%
2018,Qtr 2,April,25,0.00%,3.57%
2018,Qtr 2,April,26,5.41%,0.00%
2018,Qtr 2,April,27,4.76%,4.76%
2018,Qtr 2,April,28,0.00%,0.00%
2018,Qtr 2,April,29,0.00%,0.00%
2018,Qtr 2,April,30,1.89%,0.00%
2018,Qtr 2,May,1,5.56%,0.00%
2018,Qtr 2,May,2,4.00%,0.00%
2018,Qtr 2,May,3,0.00%,0.00%
2018,Qtr 2,May,4,0.00%,11.11%
2018,Qtr 2,May,5,0.00%,0.00%
2018,Qtr 2,May,7,4.35%,4.35%
2018,Qtr 2,May,8,0.00%,16.67%
2018,Qtr 2,May,9,3.23%,0.00%
2018,Qtr 2,May,10,0.00%,9.52%
2018,Qtr 2,May,11,15.38%,7.69%
2018,Qtr 2,May,12,4.17%,0.00%
2018,Qtr 2,May,14,2.44%,4.88%
2018,Qtr 2,May,15,0.00%,0.00%
2018,Qtr 2,May,16,0.00%,0.00%
2018,Qtr 2,May,17,0.00%,0.00%
2018,Qtr 2,May,18,0.00%,0.00%
2018,Qtr 2,May,19,0.00%,0.00%
2018,Qtr 2,May,20,0.00%,0.00%
2018,Qtr 2,May,21,4.55%,0.00%
2018,Qtr 2,May,22,0.00%,0.00%
2018,Qtr 2,May,23,9.09%,0.00%
2018,Qtr 2,May,24,4.17%,0.00%
2018,Qtr 2,May,25,0.00%,0.00%
2018,Qtr 2,May,26,0.00%,0.00%
2018,Qtr 2,May,27,0.00%,0.00%
2018,Qtr 2,May,29,6.38%,0.00%
2018,Qtr 2,May,30,4.00%,0.00%
2018,Qtr 2,May,31,0.00%,3.33%
2018,Qtr 2,June,1,4.35%,0.00%
2018,Qtr 2,June,3,0.00%,0.00%
2018,Qtr 2,June,4,0.00%,0.00%
2018,Qtr 2,June,5,2.17%,0.00%
2018,Qtr 2,June,6,9.38%,3.13%
2018,Qtr 2,June,7,4.00%,0.00%
2018,Qtr 2,June,8,0.00%,0.00%
2018,Qtr 2,June,9,0.00%,0.00%
2018,Qtr 2,June,10,0.00%,0.00%
2018,Qtr 2,June,11,2.86%,0.00%
2018,Qtr 2,June,12,0.00%,12.50%
2018,Qtr 2,June,13,0.00%,0.00%
2018,Qtr 2,June,14,0.00%,0.00%
2018,Qtr 2,June,15,0.00%,10.53%
2018,Qtr 2,June,16,0.00%,0.00%
2018,Qtr 2,June,17,0.00%,0.00%
2018,Qtr 2,June,18,0.00%,6.45%
2018,Qtr 2,June,19,0.00%,0.00%
2018,Qtr 2,June,20,0.00%,0.00%
2018,Qtr 2,June,21,0.00%,0.00%
2018,Qtr 2,June,22,0.00%,1.67%
2018,Qtr 2,June,23,4.00%,0.00%
2018,Qtr 2,June,25,4.76%,0.00%
2018,Qtr 2,June,26,0.00%,0.00%
2018,Qtr 2,June,27,12.00%,0.00%
2018,Qtr 2,June,28,9.09%,4.55%
2018,Qtr 2,June,29,0.00%,0.00%
2018,Qtr 2,June,30,0.00%,0.00%
2018,Qtr 3,July,1,0.00%,20.00%
2018,Qtr 3,July,2,0.00%,0.00%
2018,Qtr 3,July,3,0.00%,3.13%
2018,Qtr 3,July,5,2.08%,2.08%
2018,Qtr 3,July,6,9.09%,0.00%
2018,Qtr 3,July,7,0.00%,0.00%
2018,Qtr 3,July,9,5.41%,8.11%
2018,Qtr 3,July,10,6.25%,0.00%
2018,Qtr 3,July,11,0.00%,0.00%
2018,Qtr 3,July,12,0.00%,5.00%
2018,Qtr 3,July,13,3.45%,3.45%
2018,Qtr 3,July,14,0.00%,0.00%
2018,Qtr 3,July,16,8.11%,2.70%
2018,Qtr 3,July,17,2.78%,5.56%
2018,Qtr 3,July,18,1.89%,7.55%
2018,Qtr 3,July,19,3.13%,12.50%
2018,Qtr 3,July,20,6.25%,0.00%
2018,Qtr 3,July,23,2.33%,0.00%
2018,Qtr 3,July,24,0.00%,2.63%
2018,Qtr 3,July,25,0.00%,0.00%
2018,Qtr 3,July,26,0.00%,7.69%
2018,Qtr 3,July,27,2.86%,2.86%
2018,Qtr 3,July,29,12.50%,0.00%
2018,Qtr 3,July,30,0.00%,0.00%
2018,Qtr 3,July,31,3.85%,0.00%
2018,Qtr 3,August,1,3.45%,0.00%
2018,Qtr 3,August,2,0.00%,0.00%
2018,Qtr 3,August,3,0.00%,0.00%
2018,Qtr 3,August,6,2.33%,0.00%
2018,Qtr 3,August,7,2.27%,0.00%
2018,Qtr 3,August,8,2.56%,0.00%
2018,Qtr 3,August,9,0.00%,0.00%
2018,Qtr 3,August,10,0.00%,0.00%
2018,Qtr 3,August,13,0.00%,0.00%
2018,Qtr 3,August,14,2.13%,0.00%
2018,Qtr 3,August,15,2.17%,4.35%
2018,Qtr 3,August,16,0.00%,4.35%
2018,Qtr 3,August,17,0.00%,0.00%
2018,Qtr 3,August,20,0.00%,2.50%
2018,Qtr 3,August,21,2.78%,5.56%
2018,Qtr 3,August,22,2.86%,8.57%
2018,Qtr 3,August,23,0.00%,2.63%
2018,Qtr 3,August,24,0.00%,0.00%
2018,Qtr 3,August,27,0.00%,0.00%
2018,Qtr 3,August,28,0.00%,1.82%
2018,Qtr 3,August,29,0.00%,2.94%
2018,Qtr 3,August,30,0.00%,3.45%
2018,Qtr 3,August,31,17.65%,0.00%
2018,Qtr 3,September,4,4.17%,2.08%
2018,Qtr 3,September,5,0.00%,3.23%
2018,Qtr 3,September,6,0.00%,2.17%
2018,Qtr 3,September,7,0.00%,0.00%
2018,Qtr 3,September,10,0.00%,6.06%
2018,Qtr 3,September,11,4.00%,8.00%
2018,Qtr 3,September,12,0.00%,2.78%
2018,Qtr 3,September,13,3.85%,3.85%
2018,Qtr 3,September,14,0.00%,0.00%
2018,Qtr 3,September,17,4.17%,4.17%
2018,Qtr 3,September,18,3.57%,0.00%
2018,Qtr 3,September,19,0.00%,2.50%
2018,Qtr 3,September,20,3.33%,0.00%
2018,Qtr 3,September,21,0.00%,0.00%
2018,Qtr 3,September,23,0.00%,0.00%
2018,Qtr 3,September,24,0.00%,2.04%
2018,Qtr 3,September,25,2.56%,0.00%
2018,Qtr 3,September,26,0.00%,2.22%
2018,Qtr 3,September,27,0.00%,0.00%
2018,Qtr 3,September,28,5.88%,0.00%
2018,Qtr 4,October,1,2.17%,2.17%
2018,Qtr 4,October,2,2.94%,0.00%
2018,Qtr 4,October,3,2.33%,0.00%
2018,Qtr 4,October,4,0.00%,0.00%
2018,Qtr 4,October,5,0.00%,0.00%
2018,Qtr 4,October,9,0.00%,2.00%
2018,Qtr 4,October,10,2.56%,0.00%
2018,Qtr 4,October,11,0.00%,0.00%
2018,Qtr 4,October,12,0.00%,0.00%
2018,Qtr 4,October,15,0.00%,0.00%
2018,Qtr 4,October,16,4.88%,0.00%
2018,Qtr 4,October,17,0.00%,2.70%
2018,Qtr 4,October,18,4.26%,4.26%
2018,Qtr 4,October,19,0.00%,0.00%
2018,Qtr 4,October,22,0.00%,0.00%
2018,Qtr 4,October,23,0.00%,0.00%
2018,Qtr 4,October,24,6.90%,3.45%
2018,Qtr 4,October,25,5.41%,0.00%
2018,Qtr 4,October,26,0.00%,0.00%
2018,Qtr 4,October,29,0.00%,4.00%
2018,Qtr 4,October,30,6.90%,3.45%
2018,Qtr 4,October,31,0.00%,3.13%
2018,Qtr 4,November,1,0.00%,0.00%
2018,Qtr 4,November,2,0.00%,5.00%
2018,Qtr 4,November,5,0.00%,0.00%
2018,Qtr 4,November,6,0.00%,4.17%
