REFERRAL_YEAR,Asian,Black,Latino,White
2017,8.30%,4.20%,29.00%,14.40%
2018,8.90%,5.40%,30.20%,15.10%
2019,9.70%,4.80%,33.40%,14.90%
2020,10.00%,4.80%,32.50%,13.90%
2021,9.40%,5.60%,33.80%,14.50%
2022,10.50%,5.90%,36.50%,13.70%
2023,10.80%,5.90%,40.20%,14.40%
2024,11.50%,5.40%,42.20%,13.80%
Census-SCC_2024,43.30%,2.90%,24.80%,6.50%
